DATE RPTD,DATE OCC,TIME OCC,AREA,AREA NAME,DIST NO,CRIME,VICT SEX,PREMISES,WEAPON,LOCATION
1/1/2024 0:00,12/31/2023 0:00,1830,13,Newton,1361,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,STREET,,300 W  47TH                         ST
1/1/2024 0:00,12/31/2023 0:00,2100,8,West LA,852,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",M,STREET,,1600    STONER                       AV
1/1/2024 0:00,12/27/2023 0:00,1240,15,N Hollywood,1506,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,CLOTHING STORE,,7100    VINELAND                     AV
1/1/2024 0:00,12/27/2023 0:00,1630,15,N Hollywood,1548,THEFT PLAIN - PETTY ($950 & UNDER),F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,5300    HARMONY                      AV
1/1/2024 0:00,12/31/2023 0:00,200,15,N Hollywood,1586,TRESPASSING,X,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,,3900    LANKERSHIM                   BL
1/1/2024 0:00,12/29/2023 0:00,1720,20,Olympic,2023,BURGLARY,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,400 S  HOBART                       BL
1/1/2024 0:00,12/31/2023 0:00,1600,7,Wilshire,758,BURGLARY,M,SINGLE FAMILY DWELLING,,1200    CRENSHAW                     BL
1/1/2024 0:00,12/30/2023 0:00,1600,19,Mission,1989,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,STREET,,NAPLES
1/1/2024 0:00,12/6/2023 0:00,1800,15,N Hollywood,1589,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,3600    BARHAM                       BL
1/1/2024 0:00,1/2/2023 0:00,1200,17,Devonshire,1701,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",M,SINGLE FAMILY DWELLING,,20700    DEER GRASS                   CT
1/1/2024 0:00,12/31/2023 0:00,2100,2,Rampart,212,VEHICLE - STOLEN,,STREET,,500 N  HOOVER                       ST
1/1/2024 0:00,12/31/2023 0:00,2000,12,77th Street,1258,VIOLATION OF COURT ORDER,F,POLICE FACILITY,,7600 S  BROADWAY
1/1/2024 0:00,12/30/2023 0:00,1753,17,Devonshire,1714,BURGLARY,F,SINGLE FAMILY DWELLING,,18900    GRANADA CIR
1/1/2024 0:00,12/31/2023 0:00,2300,21,Topanga,2146,INTIMATE PARTNER - AGGRAVATED ASSAULT,F,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7000    VASSAR                       AV
1/1/2024 0:00,12/27/2023 0:00,1535,17,Devonshire,1787,THEFT PLAIN - PETTY ($950 & UNDER),F,OTHER RESIDENCE,,17800    LASSEN                       ST
1/1/2024 0:00,12/30/2023 0:00,2200,1,Central,176,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,STREET,,700    MAPLE                        AV
1/1/2024 0:00,12/30/2023 0:00,2300,4,Hollenbeck,429,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,STREET,,5300    HUNTINGTON                   DR
1/1/2024 0:00,12/31/2023 0:00,1845,16,Foothill,1651,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",X,AUTO SUPPLY STORE*,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",13200    OSBORNE                      ST
